epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.3101,1.78949,4.25306,1.29108,0.22821,0.15182,0.20428,0.1334,1.64568,3.14728,1.24041,2.727e-05,2.727e-05,2.727e-05
2,148.787,1.78245,2.7088,1.17053,0.33008,0.31646,0.33927,0.20033,1.50297,2.57891,1.1167,6.25801e-05,6.25801e-05,6.25801e-05
3,222.101,1.61744,1.7477,1.11113,0.76878,0.41422,0.51972,0.28973,1.50749,2.10645,1.09403,9.66903e-05,9.66903e-05,9.66903e-05
4,298.756,1.52253,1.48742,1.045,0.67629,0.53072,0.60817,0.37889,1.3609,1.76288,1.07737,0.000129601,0.000129601,0.000129601
5,371.874,1.47008,1.1964,1.05884,0.52533,0.52001,0.60951,0.39225,1.28921,1.92481,1.05559,0.000161311,0.000161311,0.000161311
6,446.247,1.47505,1.13667,1.00745,0.81087,0.67224,0.74071,0.45032,1.28726,1.30352,1.05775,0.000191822,0.000191822,0.000191822
7,520.378,1.41335,1.06519,1.04748,0.71694,0.74456,0.76724,0.46737,1.32035,1.21706,1.06764,0.000221132,0.000221132,0.000221132
8,592.049,1.36482,0.91727,0.9904,0.79058,0.68403,0.77262,0.46996,1.27251,1.21672,1.07799,0.000249243,0.000249243,0.000249243
9,664.462,1.3432,0.97656,0.99535,0.79387,0.7368,0.79175,0.47733,1.23814,1.07935,1.07299,0.000276154,0.000276154,0.000276154
10,735.027,1.33408,0.99269,0.99735,0.83927,0.74893,0.78818,0.44101,1.28635,1.09853,1.06713,0.000301865,0.000301865,0.000301865
11,805.392,1.33626,0.96409,1.04367,0.90453,0.72272,0.80622,0.48913,1.26921,1.18271,1.02308,0.000326376,0.000326376,0.000326376
12,878.554,1.26156,0.92698,1.01324,0.76567,0.79645,0.82383,0.51426,1.19469,1.3146,1.00969,0.000349688,0.000349688,0.000349688
13,950.748,1.31874,0.84021,0.98596,0.83946,0.74399,0.78342,0.48075,1.26444,1.18138,1.02249,0.000371799,0.000371799,0.000371799
14,1022.63,1.28988,0.86424,0.99975,0.8077,0.6988,0.75116,0.46252,1.3026,1.14002,1.04687,0.000392711,0.000392711,0.000392711
15,1094.94,1.19641,0.84036,1.00304,0.829,0.71123,0.77084,0.45669,1.38144,0.99287,1.09494,0.000412422,0.000412422,0.000412422
16,1166.75,1.23273,0.83456,0.97042,0.81851,0.71689,0.76562,0.45803,1.38661,0.96738,1.12556,0.000430934,0.000430934,0.000430934
17,1241.92,1.27104,0.81244,0.98548,0.85495,0.71356,0.77149,0.46549,1.35124,0.97384,1.10893,0.000448246,0.000448246,0.000448246
18,1325.19,1.26432,0.7736,0.95926,0.83269,0.74875,0.7927,0.48521,1.28521,0.96125,1.08059,0.000464358,0.000464358,0.000464358
19,1404.58,1.19155,0.74397,0.94449,0.8897,0.74252,0.80896,0.48624,1.29031,0.95712,1.08094,0.00047927,0.00047927,0.00047927
20,1481.26,1.19966,0.74919,0.98224,0.82788,0.74462,0.80542,0.47306,1.35252,0.92399,1.08952,0.000492983,0.000492983,0.000492983
21,1558.51,1.23841,0.72089,0.96062,0.86044,0.75251,0.83367,0.49642,1.28825,0.94062,1.07566,0.000505495,0.000505495,0.000505495
22,1642.17,1.35136,0.6949,0.95049,0.8276,0.76957,0.83004,0.49131,1.2502,0.92735,1.04962,0.000516807,0.000516807,0.000516807
23,1721.61,1.25381,0.68854,0.93393,0.80822,0.78889,0.82731,0.4984,1.22811,0.97643,1.05434,0.00052692,0.00052692,0.00052692
24,1798.07,1.15789,0.68157,0.96479,0.78816,0.80615,0.83228,0.50304,1.24751,0.92382,1.07438,0.000535833,0.000535833,0.000535833
25,1876.12,1.18585,0.72292,0.93571,0.84369,0.78808,0.83319,0.49588,1.27553,0.9081,1.08401,0.000543546,0.000543546,0.000543546
26,1946.32,1.15041,0.70156,0.9424,0.8723,0.72333,0.82451,0.49605,1.2754,0.90189,1.08358,0.000534037,0.000534037,0.000534037
27,2016.39,1.26469,0.69439,0.93919,0.761,0.78121,0.82876,0.50159,1.25789,0.89387,1.09805,0.000519039,0.000519039,0.000519039
28,2085.96,1.17293,0.65937,0.93766,0.84356,0.74921,0.83006,0.51355,1.26191,0.84783,1.10843,0.00050404,0.00050404,0.00050404
29,2159.21,1.19172,0.66137,0.9508,0.79702,0.76416,0.83534,0.50595,1.27405,0.81117,1.12249,0.000489042,0.000489042,0.000489042
30,2231.87,1.17565,0.66201,0.95114,0.81926,0.76483,0.83438,0.50754,1.2586,0.7922,1.11787,0.000474043,0.000474043,0.000474043
31,2306.13,1.2211,0.67522,0.92842,0.83946,0.77506,0.84083,0.50827,1.25662,0.81415,1.1097,0.000459045,0.000459045,0.000459045
32,2380.76,1.19193,0.64049,0.94304,0.93108,0.74448,0.84108,0.51016,1.2423,0.75243,1.10972,0.000444046,0.000444046,0.000444046
33,2454.52,1.13731,0.6447,0.93989,0.87157,0.74729,0.84726,0.51777,1.23313,0.70169,1.10756,0.000429048,0.000429048,0.000429048
34,2534.01,1.17993,0.64946,0.93728,0.84589,0.75416,0.84098,0.51842,1.24155,0.70089,1.11444,0.000414049,0.000414049,0.000414049
35,2613.06,1.10573,0.62262,0.92289,0.78619,0.80179,0.83803,0.5176,1.2475,0.67528,1.1201,0.000399051,0.000399051,0.000399051
36,2693.43,1.08756,0.60739,0.92534,0.80384,0.82786,0.84557,0.51904,1.25801,0.6674,1.12568,0.000384052,0.000384052,0.000384052
37,2775.76,0.99677,0.60704,0.92866,0.84541,0.78529,0.83568,0.51265,1.26689,0.67494,1.12854,0.000369054,0.000369054,0.000369054
38,2859.67,1.0465,0.61503,0.94698,0.76693,0.83016,0.83364,0.50019,1.30436,0.69522,1.14286,0.000354055,0.000354055,0.000354055
